Supplementary Table І,,,,,,,,,,,,,,,,,,
Detailed Informaion of Materials,,,,,,,,,,,,,,,,,,
No.,Chemical composition (wt%),,,,,,,Fabrication Processes,,,,,,,,,,
,Zn,Mg,Cu,Zr,Ti,Fe,Si,Casting Types,,Homogenization (℃/h),Extrusion,Solution Treatment (℃/h),Aging (℃/h),Tensile properties,,,Remarks,Specimens
,,,,,,,,Permanent mold,Billet,,O/X,,,YS (MPa),TS (MPa),EL (%),,
42,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/0.08,120/24,664,702,15.0 ,Ti-added,7068
43,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/0.5,120/24,657,705,13.0 ,Ti-added,7068
44,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/0.5,120/24,662,708,13.0 ,Ti-added,7068
45,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/4,120/24,680,713,13.0 ,Ti-added,7068
46,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/4,120/24,680,711,13.0 ,Ti-added,7068
47,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,120/24,673,706,11.0 ,Ti-added,7068
48,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,120/24,671,707,12.0 ,Ti-added,7068
49,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,25/1500,490,644,19.3 ,Ti-added,7068
50,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,25/1500,495,646,18.1 ,Ti-added,7068
51,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/24,25/5000,538,675,16.7 ,Ti-added,7068
